Название;Цена, руб.;Артикул;Стартовый ток;Емкость;Номинальное напряжение;Клемы;Полярность;Длина;Ширина;Высота;Вес;Изготовитель;Страна производства
Forse 85 Ач (низ) обр.п. (0);10390;00008323;800А;85,0 Ач;12В;Толстые;Обратная;310 мм.;175 мм.;175 мм.;18.9 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Тюмень AGM 95 Ач обр.п. (0);17880;00008197;800А;95,0 Ач;12В;Толстые;Обратная;350 мм.;175 мм.;190 мм.;24.3 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
ТЮМЕНЬ Азия 65 Ач (23 L) обр.п. (0);6300;00008196;580А;65,0 Ач;12В;Толстые;Обратная;230 мм.;170 мм.;220 мм.;16.3 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Bars Silver 100 Ач прям.п. (1);8030;00008121;780А;100,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;23.4 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
SUPER FB Truck&Bus 150 Ач (155 G 51) прям.п. (4);19900;00008104;765А;150,0 Ач;12В;Толстые;Прямая;510 мм.;220 мм.;225 мм.;38.8 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Truck&Bus 130 Ач (130 F 51) прям.п. (4);18900;00008103;695А;130,0 Ач;12В;Толстые;Прямая;500 мм.;180 мм.;225 мм.;32.9 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
Topla Energy 75 Ач прям.п. (1);9300;00000330;750А;75,0 Ач;12В;Толстые;Прямая;278 мм.;1175 мм.;190 мм.;17.9 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla Energy 75 Ач обр.п. (0);9300;00000449;750А;75,0 Ач;12В;Толстые;Обратная;278 мм.;1175 мм.;190 мм.;17.9 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla Energy 66 Ач обр.п. (0);7800;00003221;620А;66,0 Ач;12В;Толстые;Обратная;242 мм.;173 мм.;190 мм.;15.7 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla Energy 60 Ач прям.п. (1);6770;00000329;600А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.4 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla Energy 60 Ач обр.п. (0);6770;00000447;600А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15.4 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 75 а/ч (D26R) (азия) (1);9450;00008097;740А;75,0 Ач;12В;Толстые;Прямая;259 мм.;175 мм.;220 мм.;20 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 75 а/ч (D26L) (азия) (0);9450;00003226;740А;75,0 Ач;12В;Толстые;Обратная;259 мм.;175 мм.;220 мм.;20 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 65 а/ч (D23L) (азия) (0);8250;00003225;650А;65,0 Ач;12В;Толстые;Обратная;230 мм.;170 мм.;200 мм.;15 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 55 а/ч (B24L) (азия) (0);7500;00008100;490А;55,0 Ач;12В;Толстые;Обратная;236 мм.;128 мм.;220 мм.;13.2 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 100 а/ч (D31R) (азия) (1);12300;00008099;900А;100,0 Ач;12В;Толстые;Прямая;310 мм.;175 мм.;220 мм.;21.3 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 100 а/ч (D31L) (азия) (0);12300;00008098;900А;100,0 Ач;12В;Толстые;Обратная;310 мм.;175 мм.;220 мм.;21.3 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Numax Silver Euro 56513 65 Ач обр. п. (0);7290;00008081;650А;65,0 Ач;12В;Толстые;Обратная;240 мм.;175 мм.;175 мм.;15.4 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Тюмень Premium 61 Ач низ обр.п. (0);5870;00008072;540А;61,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;14.8 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень Premium 61 Ач низ прям.п. (1);5870;00008056;540А;61,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;175 мм.;14.8 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
DELTA EPS 1220 20 Ач обр. п. (0);8780;00008030;360А;23,0 Ач;12В;4F;Обратная;205 мм.;87 мм.;162 мм.;7.55 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
PRESIDENT AGM AX 90 Ач (115 D 31R)  (1);15820;00008023;800А;90,0 Ач;12В;Толстые;Прямая;302 мм.;172 мм.;200 мм.;24 кг.;ATLASBX, Co., Ltd.;Республика Корея Провинция Чолла-Пукто
PRESIDENT AGM AX 90 Ач (115 D 31L)  (0);15820;00008022;800А;90,0 Ач;12В;Толстые;Обратная;302 мм.;172 мм.;200 мм.;24 кг.;ATLASBX, Co., Ltd.;Республика Корея Провинция Чолла-Пукто
EXIDE PREMIUM 85 А/ч обр.п (0) ЕА852;11050;00001335;800А;85,0 Ач;12В;Толстые;Обратная;315 мм.;175 мм.;175 мм.;20.5 кг.;EXIDE Technologies S.A;Польша г. Познань
FireBall 100 Ач прям.п. (1);7070;00007994;810А;100,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;23 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Varta Standart 100 Ач обр.п. (0);11210;00000700;820А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;24 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
Bars Silver 210 Ач (конус) прям.п. (4);16620;00007993;1350А;210,0 Ач;12В;Толстые;Прямая;524 мм.;239 мм.;223 мм.;50 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
EXIDE PREMIUM 77 А/ч обр.п (0) ЕА770;10600;00000894;760А;77,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;19.5 кг.;EXIDE Technologies S.A;Польша г. Познань
EXIDE PREMIUM 72 А/ч обр.п. (0) ЕА722;9700;00001152;720А;72,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;175 мм.;19 кг.;EXIDE Technologies S.A;Польша г. Познань
EXIDE PREMIUM 61 А/ч обр.п. (0) ЕА612;8100;00007911;600А;61,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;16.2 кг.;EXIDE Technologies S.A;Польша г. Познань
EXIDE AGM 95 Ач обр.п. (0) ЕК950;19000;00007914;850А;95,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;26 кг.;EXIDE Technologies S.A;Польша г. Познань
EXIDE AGM 80 Ач обр.п. (0) ЕК800;17700;00007913;800А;80,0 Ач;12В;Толстые;Обратная;315 мм.;175 мм.;190 мм.;23.4 кг.;EXIDE Technologies S.A;Польша г. Познань
EXIDE AGM 70 Ач обр.п. (0) ЕК700;15550;00007912;760А;70,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;20.5 кг.;EXIDE Technologies S.A;Польша г. Познань
SUPER FB Altica HIGH-GRADE 80 Ач (110 D 26 R) (1);17380;00007884;760А;80,0 Ач;12В;Толстые;Прямая;255 мм.;173 мм.;225 мм.;19.1 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
АКТЕХ CLASSIC 110 Ач прям.п. (1);10230;00007849;950А;110,0 Ач;12В;Толстые;Прямая;352 мм.;175 мм.;190 мм.;25.2 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
TUBOR SYNERGY 76 Ач прям. п. (1);8250;00007848;730А;76,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;19.3 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
YUASA Silver Hight Performance  75Ач (90 D 26 R) YBX5069 (1);10880;00007844;650А;75,0 Ач;12В;Толстые;Прямая;260 мм.;168 мм.;220 мм.;18.3 кг.;GSYuasa International Ltd;Япония
YUASA 72Ач (85 D 26 R) YBX3031 (1);9390;00007843;630А;72,0 Ач;12В;Толстые;Прямая;260 мм.;168 мм.;220 мм.;17.4 кг.;GSYuasa International Ltd;Япония
YUASA 60Ач (60 D 23 L) YBX3005 (0);7770;00007845;500А;60,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;15 кг.;GSYuasa International Ltd;Япония
YUASA AGM Start Stop 95Ач  обр. п. YBX9019 (0);25380;00007784;850А;95,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;26.2 кг.;GSYuasa International Ltd;Япония
YUASA AGM Start Stop 80Ач обр. п. YBX9115 (0);21750;00007785;800А;80,0 Ач;12В;Толстые;Обратная;305 мм.;175 мм.;190 мм.;23.3 кг.;GSYuasa International Ltd;Япония
YUASA Silver Hight Performance  100Ач (120 D 31 R) YBX5334 (1);12540;00007781;830А;100,0 Ач;12В;Толстые;Прямая;301 мм.;172 мм.;220 мм.;21.5 кг.;GSYuasa International Ltd;Япония
YUASA Silver Hight Performance  100Ач (120 D 31 L) YBX5335 (0);12540;00007780;830А;100,0 Ач;12В;Толстые;Обратная;301 мм.;172 мм.;220 мм.;21.5 кг.;GSYuasa International Ltd;Япония
YUASA Silver Hight Performance  75Ач (90 D 26 L) YBX5068 (0);10880;00007779;650А;75,0 Ач;12В;Толстые;Обратная;260 мм.;168 мм.;220 мм.;18.3 кг.;GSYuasa International Ltd;Япония
YUASA Silver Hight Performance  65Ач (80 D 23 L) YBX5005 (0);10150;00007778;580А;65,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;16 кг.;GSYuasa International Ltd;Япония
YUASA Silver Hight Performance  50Ач (60 B 24 R) YBX5057 (1);9160;00007777;450А;50,0 Ач;12В;Тонкие;Прямая;236 мм.;128 мм.;220 мм.;12.2 кг.;GSYuasa International Ltd;Япония
YUASA Silver Hight Performance  50Ач (60 B 24 L) YBX5053 (0);9160;00007776;450А;50,0 Ач;12В;Тонкие;Обратная;236 мм.;128 мм.;220 мм.;12.2 кг.;GSYuasa International Ltd;Япония
YUASA 95Ач (115 D 31 R) YBX3334 (1);12070;00007783;720А;95,0 Ач;12В;Толстые;Прямая;301 мм.;172 мм.;220 мм.;20.3 кг.;GSYuasa International Ltd;Япония
YUASA 95Ач (115 D 31 L) YBX3335 (0);12070;00007782;720А;95,0 Ач;12В;Толстые;Обратная;301 мм.;172 мм.;220 мм.;20.3 кг.;GSYuasa International Ltd;Япония
YUASA 72Ач (85 D 26 L) YBX3030 (0);9390;00007786;630А;72,0 Ач;12В;Толстые;Обратная;260 мм.;168 мм.;220 мм.;17.4 кг.;GSYuasa International Ltd;Япония
Varta Standart 60 Ач прям. п. (1);6650;00007711;520А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;13.8 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
Varta Standart 100 Ач прям. п. (1);11210;00007710;820А;100,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;24 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUDOR AGM 80 Ач обр.п. (0);17670;00007709;800А;80,0 Ач;12В;Толстые;Обратная;315 мм.;175 мм.;190 мм.;23 кг.;EXIDE TECHNOLOGIES Transportation Business Group Europe;Польша г. Познань
MUTLU SFB M2 72 Ач (низ) обр.п. (0);7760;00007708;580А;72,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;175 мм.;17.1 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
Bosch 0092S40050 60 Ач обр. п. (0);8840;00001064;540А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;14.9 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
SEBANG SMF 65 Ач (75 D 23 R) (1);5220;00007707;580А;65,0 Ач;12В;Толстые;Прямая;2232 мм.;175 мм.;225 мм.;;-;-
SUPER FB ECHNO IS  S-95  64 Ач (D26L) (0);17280;00007692;760А;64,0 Ач;12В;Толстые;Обратная;255 мм.;175 мм.;225 мм.;20 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB ECHNO IS  Q-85  61 Ач (D23L) (0);15200;00007691;560А;61,0 Ач;12В;Толстые;Обратная;229 мм.;167 мм.;225 мм.;17 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica HIGH-GRADE 90 Ач (125 D 31 R) (1);22670;00007693;850А;90,0 Ач;12В;Толстые;Прямая;303 мм.;173 мм.;225 мм.;21.8 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica PREMIUM 98 Ач (145 D 31 R) (1);24830;00007676;900А;98,0 Ач;12В;Толстые;Прямая;303 мм.;175 мм.;225 мм.;23.6 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica PREMIUM 98 Ач (145 D 31 L) (0);24830;00007675;900А;98,0 Ач;12В;Толстые;Обратная;303 мм.;175 мм.;225 мм.;23.6 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica PREMIUM 85 Ач (125 D 26 R) (1);19870;00007674;800А;85,0 Ач;12В;Толстые;Прямая;255 мм.;173 мм.;225 мм.;19.7 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica HIGH-GRADE 43 Ач (46 B 19L) (0);9180;00007673;380А;43,0 Ач;12В;Тонкие;Обратная;184 мм.;125 мм.;225 мм.;9.9 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
Тюмень 100 Ач прям.п. (1);9390;00007650;830А;100,0 Ач;12В;Толстые;Прямая;345 мм.;175 мм.;213 мм.;23.6 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
SUPER FB Gold SMF Euro 75 Ач прям. п. (1);14100;00007632;680А;75,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;16 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Gold SMF Euro 45 Ач обр. п. (0);10150;00007626;450А;45,0 Ач;12В;Толстые;Обратная;205 мм.;175 мм.;175 мм.;12.3 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB HV 51 Ач (55 D 23 L) (0);20800;00007628;420А;51,0 Ач;12В;Толстые;Обратная;219 мм.;170 мм.;225 мм.;15.9 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica PREMIUM 60 Ач (75 В 24 R) (1);14400;00007631;570А;60,0 Ач;12В;Тонкие;Прямая;234 мм.;125 мм.;225 мм.;13 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica PREMIUM 50 Ач (55 В 19 L) (0);11670;00007633;450А;50,0 Ач;12В;Тонкие;Обратная;184 мм.;125 мм.;225 мм.;9.5 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica HIGH-GRADE 50 Ач (70 B 24 R) (1);12300;00007630;520А;50,0 Ач;12В;Тонкие;Прямая;234 мм.;125 мм.;225 мм.;11.8 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica HIGH-GRADE 50 Ач (70 B 24 L) (0);12300;00007629;520А;50,0 Ач;12В;Тонкие;Обратная;234 мм.;125 мм.;225 мм.;11.8 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
Varta Standart 74 Ач прям. п. (1);8610;00000699;680А;74,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;18.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
Varta Standart 74 Ач обр.п. (0);8610;00000743;680А;74,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;18.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
Varta Standart 60 Ач обр.п. (0);6650;00007538;520А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;13.8 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
Тюмень 100 Ач обр.п. (0);9390;00007449;830А;100,0 Ач;12В;Толстые;Обратная;345 мм.;175 мм.;213 мм.;23.6 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
SUPER FB Altica PREMIUM 85 Ач (125 D 26 L) (0);19870;00007416;800А;85,0 Ач;12В;Толстые;Обратная;255 мм.;173 мм.;225 мм.;19.7 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica PREMIUM 75 Ач (100 D 23 L) (0);16680;00007415;700А;75,0 Ач;12В;Толстые;Обратная;229 мм.;167 мм.;225 мм.;16.1 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica HIGH-GRADE 90 Ач (125 D 31 L) (0);22670;00007390;850А;90,0 Ач;12В;Толстые;Обратная;303 мм.;173 мм.;225 мм.;21.8 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica HIGH-GRADE 80 Ач (110 D 26 L) (0);17380;00007389;760А;80,0 Ач;12В;Толстые;Обратная;255 мм.;173 мм.;225 мм.;19.1 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Altica HIGH-GRADE 70 Ач (85 D 23 L) (0);15720;00007388;650А;70,0 Ач;12В;Толстые;Обратная;229 мм.;167 мм.;225 мм.;15.9 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
Prime PTZ7S-BS  7 Ач обр. п. (0);1635;00007367;170А;7,0 Ач;12В;4F;Обратная;114 мм.;70 мм.;108 мм.;1.7 кг.;GUANGDONG TONGLI POWER TECHNOLOGY CO.,LTD;Китайская народная республика, г.Гуанчждоу
Prime PTX9-BS  9 Ач прям. п. (1);2030;00007369;200А;9,0 Ач;12В;4F;Прямая;152 мм.;87 мм.;107 мм.;2.8 кг.;GUANGDONG TONGLI POWER TECHNOLOGY CO.,LTD;Китайская народная республика, г.Гуанчждоу
Prime PTX7А-BS  7 Ач прям. п. (1);1635;00007365;170А;7,0 Ач;12В;4F;Прямая;152 мм.;87 мм.;95 мм.;2.4 кг.;GUANGDONG TONGLI POWER TECHNOLOGY CO.,LTD;Китайская народная республика, г.Гуанчждоу
Prime PTX7L-BS  7 Ач обр. п. (0);1635;00007366;170А;7,0 Ач;12В;4F;Обратная;114 мм.;71 мм.;131 мм.;2.4 кг.;GUANGDONG TONGLI POWER TECHNOLOGY CO.,LTD;Китайская народная республика, г.Гуанчждоу
Prime PTX5L-BS  5 Ач обр. п. (0);1295;00007364;150А;5,0 Ач;12В;4F;Обратная;114 мм.;69 мм.;109 мм.;1.8 кг.;GUANGDONG TONGLI POWER TECHNOLOGY CO.,LTD;Китайская народная республика, г.Гуанчждоу
Prime PTX4L-BS  4 Ач обр. п. (0);1105;00007363;110А;4,0 Ач;12В;4F;Обратная;113 мм.;70 мм.;89 мм.;1.5 кг.;GUANGDONG TONGLI POWER TECHNOLOGY CO.,LTD;Китайская народная республика, г.Гуанчждоу
Prime PT9B-BS  9 Ач прям. п. (1);2030;00007368;210А;9,0 Ач;12В;4F;Прямая;151 мм.;71 мм.;107 мм.;2.4 кг.;GUANGDONG TONGLI POWER TECHNOLOGY CO.,LTD;Китайская народная республика, г.Гуанчждоу
Русская Звезда 190 Ач (болт) прям.п. (4);12300;00007085;1150А;190,0 Ач;12В;Под болт;Прямая;518 мм.;240 мм.;242 мм.;38.8 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 100 Ач обр.п. (0);7070;00007084;810А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;23 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
TUBOR STANDART 190Ач (ун.кл) прям.п. (4);18000;00006880;1150А;190,0 Ач;12В;Толстые;Прямая;513 мм.;223 мм.;218 мм.;45.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR EFB 225 Ач обр. п. (3);25850;00006879;1300А;225,0 Ач;12В;Толстые;Обратная;518 мм.;276 мм.;242 мм.;55 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
VARTA BD (D47) 60 Ач (D23L) Азия обр.п. (0);8530;00001882;540А;60,0 Ач;12В;Толстые;Обратная;240 мм.;175 мм.;175 мм.;17.5 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
АКТЕХ CLASSIC 74 Ач (низ) обр.п. (0);6820;00006287;750А;74,0 Ач;12В;Толстые;Обратная;280 мм.;175 мм.;175 мм.;17.6 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ARCTIC 50 Ач  (B24R) прям.п (1);6900;00006286;470А;50,0 Ач;12В;Тонкие;Прямая;236 мм.;128 мм.;220 мм.;13.8 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
ЗВЕРЬ EFB Азия 82 Ач (D26R) (1);9190;00006280;770А;82,0 Ач;12В;Толстые;Прямая;265 мм.;173 мм.;223 мм.;23.5 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
VARTA BD 95 Ач (G3) обр.п. (0);17050;00001887;800А;95,0 Ач;12В;Толстые;Обратная;345 мм.;175 мм.;190 мм.;24 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
VARTA BD 72 Ач низ. (E43) обр.п. (0);10080;00001884;680А;72,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;190 мм.;18 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Solite MF56-28GL (AGM70L);13630;00006258;760А;70,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;190 мм.;20.4 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite EFB 60 Ач обр. п. (0);7980;00006257;560А;60,0 Ач;12В;Толстые;Обратная;242 мм.;174 мм.;189 мм.;14.7 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
RENAULT Standart  60 Ач обр.п. (0);6500;00006251;600А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15.4 кг.;RENAULT s.a.s;Франция, Булонь-Бийанкур
Bosch 0092T50770 180 Ач (конус) обр.п. (3);20460;00006248;1000А;180,0 Ач;12В;Толстые;Обратная;513 мм.;223 мм.;223 мм.;45.7 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
VARTA BD (B37)  Азия 48 Ач (В24L) обр.п. (0) толстая клемма;6980;00006253;420А;48,0 Ач;12В;Толстые;Обратная;238 мм.;129 мм.;227 мм.;12.4 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Bosch 0092S40290 95 а/ч R (азия) (1);13950;00001078;830А;95,0 Ач;12В;Толстые;Прямая;306 мм.;173 мм.;225 мм.;22.2 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Bosch 0092S40280 95 а/ч L (азия) (0);13950;00001079;830А;95,0 Ач;12В;Толстые;Обратная;306 мм.;173 мм.;225 мм.;22.2 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Bosch 0092S40270 70 а/ч R (азия) (1);9920;00001077;630А;70,0 Ач;12В;Толстые;Прямая;261 мм.;175 мм.;220 мм.;17.2 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Bosch 0092S40240 60 а/ч L (азия) (0);8840;00001072;540А;60,0 Ач;12В;Толстые;Обратная;232 мм.;173 мм.;225 мм.;16.1 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
АКТЕХ CLASSIC 74 Ач (низ) прям.п. (1);6820;00006243;750А;74,0 Ач;12В;Толстые;Прямая;280 мм.;175 мм.;175 мм.;17.6 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ЗВЕРЬ EFB Азия 70 Ач (D23L) (0);8150;00006242;720А;70,0 Ач;12В;Толстые;Обратная;230 мм.;175 мм.;223 мм.;19.8 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь EFB 110 Ач обр.п. (0);10840;00006041;970А;110,0 Ач;12В;Толстые;Обратная;350 мм.;175 мм.;190 мм.;26 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ЗВЕРЬ (Ca/Ca) Азия 95Ач (D31R) (1);10150;00006040;930А;95,0 Ач;12В;Толстые;Прямая;305 мм.;175 мм.;221 мм.;24.3 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ЗВЕРЬ (Ca/Ca) Азия 95Ач (D31L) (0);10150;00006038;930А;95,0 Ач;12В;Толстые;Обратная;305 мм.;175 мм.;221 мм.;24.3 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
SUPER FB Gold SMF Euro 75 Ач обр. п. (0);14100;00005981;680А;75,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;16 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
