Название;Цена, руб.;Артикул;Стартовый ток;Емкость;Номинальное напряжение;Клемы;Полярность;Длина;Ширина;Высота;Вес;Изготовитель;Страна производства
AFA PLUS 60 Ач прям.п. (1);6190;00004468;540А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Bosch S5 A13 AGM 95 Ач обр.п. (0);18600;00004453;850А;95,0 Ач;12В;Толстые;Обратная;343 мм.;175 мм.;190 мм.;27 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
DELTA CT 1230 30 Ач обр. п. (0);7360;00003829;300А;2,2 Ач;12В;4F;Обратная;168 мм.;126 мм.;175 мм.;8.5 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1218 20 Ач;4960;00003828;270А;20,0 Ач;12В;4F;Прямая;177 мм.;88 мм.;154 мм.;6.3 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
PRESIDENT ECO 80 Ач (90 D 26R) (1);5460;00004229;630А;80,0 Ач;12В;Толстые;Прямая;260 мм.;172 мм.;220 мм.;16.4 кг.;"""ATLASBX, Co., Ltd.""";Республика Корея Провинция Чолла-Пукто
ATLAS BX EFB 80 Ач (115 D 31L) (0);8020;00004242;800А;80,0 Ач;12В;Толстые;Обратная;310 мм.;172 мм.;220 мм.;21 кг.;ATLASBX, Co., Ltd.;Республика Корея Провинция Чолла-Пукто
ATLAS BX EFB 45 Ач (70 B 24L) (0);4750;00004239;460А;45,0 Ач;12В;Тонкие;Обратная;236 мм.;128 мм.;220 мм.;12.6 кг.;ATLASBX, Co., Ltd.;Республика Корея Провинция Чолла-Пукто
MUTLU SFB M3 110 Ач обр.п. (0);13400;00004199;920А;110,0 Ач;12В;Толстые;Обратная;394 мм.;175 мм.;190 мм.;24 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
AFA PLUS 74 Ач обр.п. (0);9610;00004200;680А;74,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;18 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
AFA PLUS 72 Ач (низ) обр.п. (0);9300;00004198;680А;72,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;175 мм.;18 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
AFA PLUS 60 Ач (низ) обр.п. (0);6190;00004197;540А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;15 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
FireBall 190 Ач (болт) прям.п. (4);13970;00004121;1200А;190,0 Ач;12В;Толстые;Прямая;518 мм.;240 мм.;242 мм.;46.4 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
MUTLU SFB M2 135 Ач обр.п. (3);14100;00004045;950А;135,0 Ач;12В;Толстые;Обратная;510 мм.;185 мм.;220 мм.;35.7 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
AFA PLUS 100 Ач обр.п. (0);16020;00004040;830А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;25 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
AFA PLUS 225 Ач обр.п. (3);29450;00004039;1150А;225,0 Ач;12В;Толстые;Обратная;518 мм.;291 мм.;242 мм.;61 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
AFA PLUS 80 Ач (низ) обр.п. (0);11160;00004041;740А;80,0 Ач;12В;Толстые;Обратная;315 мм.;175 мм.;175 мм.;22 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Numax Silver 90 Ач (110 D 26L) (0);9760;00004020;730А;90,0 Ач;12В;Толстые;Обратная;258 мм.;172 мм.;200 мм.;19 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 65 Ач (75 D 23R) (1);6750;00004023;570А;65,0 Ач;12В;Толстые;Прямая;230 мм.;172 мм.;220 мм.;16.2 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 75 Ач (85 D 26L) (0);7840;00004018;630А;75,0 Ач;12В;Толстые;Обратная;260 мм.;172 мм.;220 мм.;17.4 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 75 Ач (85 D 26R) (1);7840;00004017;630А;75,0 Ач;12В;Толстые;Прямая;260 мм.;172 мм.;220 мм.;17.4 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver 44 Ач (50 B 19L) (0);5240;00004019;390А;44,0 Ач;12В;Тонкие;Обратная;187 мм.;127 мм.;220 мм.;9 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Тюмень Premium 64 Ач прям.п. (1);6000;00003952;620А;64,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;16 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень Premium 77 Ач прям.п.  (1);7050;00003954;680А;77,0 Ач;12В;Толстые;Прямая;280 мм.;175 мм.;190 мм.;21 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Spark 132 Ач прям.п. (4);10800;00004013;750А;132,0 Ач;12В;Толстые;Обратная;513 мм.;190 мм.;223 мм.;38 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ТЮМЕНЬ Азия 50 Ач (24 L) обр.п. (0);4950;00003144;440А;50,0 Ач;12В;Тонкие;Обратная;235 мм.;125 мм.;220 мм.;12.4 кг.;"Акционерное общество ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
ТЮМЕНЬ Азия 50 Ач (24 R) прям.п.  (1);4950;00003966;440А;50,0 Ач;12В;Тонкие;Прямая;235 мм.;125 мм.;220 мм.;12.4 кг.;"Акционерное общество ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
ТЮМЕНЬ Азия 75 Ач (26 L) обр.п. (0);7250;00003967;630А;75,0 Ач;12В;Толстые;Обратная;266 мм.;172 мм.;220 мм.;18.5 кг.;"Акционерное общество ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
ТЮМЕНЬ Азия 75 Ач (26 R) прям.п.  (1);7250;00003968;630А;75,0 Ач;12В;Толстые;Прямая;266 мм.;172 мм.;220 мм.;18.5 кг.;"Акционерное общество ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
ТЮМЕНЬ Азия 95 Ач (31 L) обр.п. (0);9560;00003969;750А;95,0 Ач;12В;Толстые;Обратная;302 мм.;172 мм.;223 мм.;22.6 кг.;"Акционерное общество ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
ТЮМЕНЬ Азия 95 Ач (31 R) прям.п.  (1);9560;00003970;750А;95,0 Ач;12В;Толстые;Прямая;302 мм.;172 мм.;223 мм.;22.6 кг.;"Акционерное общество ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Solite SUPER 115 Ач (115 E 41 L) (длинные) (0);9830;00003971;850А;115,0 Ач;12В;Толстые;Обратная;400 мм.;175 мм.;220 мм.;26 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 115 Ач (115 E 41 R) (длинные) (1);9830;00003972;850А;115,0 Ач;12В;Толстые;Прямая;400 мм.;175 мм.;220 мм.;26 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
FireBall 190 Ач (конус) обр.п. (3);13970;00003951;1200А;190,0 Ач;12В;Толстые;Обратная;518 мм.;240 мм.;242 мм.;42.5 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Bars Silver 75 Ач (низ) обр.п. (0);6180;00003738;650А;75,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;175 мм.;18 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 190 Ач (конус) обр.п. (3);15310;00003745;1250А;190,0 Ач;12В;Толстые;Обратная;524 мм.;239 мм.;240 мм.;52 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 60 Ач (низ) обр.п. (0);4860;00003737;530А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;14.7 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
BARS Asia 75 Ач (85 D 26 L) (0);6220;00003742;640А;75,0 Ач;12В;Толстые;Обратная;260 мм.;168 мм.;220 мм.;17 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
BARS Asia 100 Ач (115 D 31 R) (1);8060;00003743;800А;100,0 Ач;12В;Толстые;Прямая;301 мм.;172 мм.;220 мм.;21.5 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
BARS Asia 100 Ач (115 D 31 L) (0);8060;00003744;800А;100,0 Ач;12В;Толстые;Обратная;301 мм.;172 мм.;220 мм.;21.5 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
BARS Asia 50 Ач (65 B 24 L) (0);4540;00003740;450А;50,0 Ач;12В;Тонкие;Обратная;236 мм.;129 мм.;220 мм.;11.5 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
BARS Asia 75 Ач (85 D 26 R) (1);6220;00003741;640А;75,0 Ач;12В;Толстые;Прямая;260 мм.;168 мм.;220 мм.;17 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Numax Silver 58 Ач (75 B 24R) (1);6200;00002014;510А;58,0 Ач;12В;Тонкие;Прямая;236 мм.;128 мм.;220 мм.;12.5 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 70 Ач (80 D 26R)  (1);7550;00003733;600А;70,0 Ач;12В;Толстые;Прямая;260 мм.;172 мм.;220 мм.;17.2 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 90 Ач (105 D 31L) (0);8660;00003734;750А;90,0 Ач;12В;Толстые;Обратная;310 мм.;172 мм.;220 мм.;21.2 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 90 Ач (105 D 31R) (1);8660;00003735;750А;90,0 Ач;12В;Толстые;Прямая;310 мм.;172 мм.;220 мм.;21.2 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver 55 Ач (70 B 24L) (0);5660;00001684;480А;55,0 Ач;12В;Тонкие;Обратная;236 мм.;128 мм.;220 мм.;12.5 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver 55 Ач (70 B 24R) (1);5660;00001685;480А;55,0 Ач;12В;Тонкие;Прямая;236 мм.;128 мм.;220 мм.;12.5 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver 58 Ач (75 B 24L) (0);6200;00002013;510А;58,0 Ач;12В;Тонкие;Обратная;236 мм.;128 мм.;220 мм.;12.5 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 65 Ач (75 D 23L) (0);6750;00003731;570А;65,0 Ач;12В;Толстые;Обратная;230 мм.;172 мм.;220 мм.;16.2 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Spark 190 Ач (болт) обр.п. (3);13500;00003720;1250А;190,0 Ач;12В;Толстые;Обратная;513 мм.;215 мм.;210 мм.;50 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Solite SUPER 44 Ач (44 B 19 L) с буртиком (CMF44AL) (0);4530;00003717;370А;44,0 Ач;12В;Тонкие;Обратная;187 мм.;127 мм.;199 мм.;9 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
FireBall 90 Ач обр.п. (0);6980;00003584;780А;90,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;21.1 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Тюмень 62 Ач обр.п. (0);5610;00003558;580А;62,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;16.8 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Forse 74 Ач (низ) обр.п. (0);8320;00003535;760А;74,0 Ач;12В;Толстые;Обратная;276 мм.;175 мм.;175 мм.;16.8 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FB Hybrid 74 Ач (низ) обр.п. (0);7390;00003534;740А;74,0 Ач;12В;Толстые;Обратная;276 мм.;175 мм.;175 мм.;16.8 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Solite Silver 95 Ач (105 D 26 R)  с буртиком (1);8830;00003514;710А;95,0 Ач;12В;Толстые;Прямая;260 мм.;168 мм.;220 мм.;18 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 110 Ач (125 D 31R)  с буртиком (1);10000;00003515;850А;110,0 Ач;12В;Толстые;Прямая;301 мм.;172 мм.;220 мм.;21 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 85 Ач (95 D 23 R)  с буртиком (1);7710;00003513;630А;85,0 Ач;12В;Толстые;Прямая;230 мм.;168 мм.;220 мм.;16 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Forse 60 Ач (низ) прям.п. (1);6760;00003508;640А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;175 мм.;14.8 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Spark 132 Ач прям.п (3);10800;00003478;750А;132,0 Ач;12В;Толстые;Прямая;513 мм.;190 мм.;223 мм.;38 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Bars Silver 230 Ач обр.п. (3);19320;00003440;1350А;230,0 Ач;12В;Толстые;Обратная;515 мм.;275 мм.;215 мм.;61 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
TUDOR HIGH - TECH 61 Ач низ. обр.п. (0);8080;00003358;600А;61,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;16 кг.;EXIDE TECHNOLOGIES Transportation Business Group Europe;Польша г. Познань
TUDOR AGM 70 Ач обр.п. (0);15530;00003356;760А;70,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;21 кг.;EXIDE TECHNOLOGIES Transportation Business Group Europe;Польша г. Познань
TUDOR AGM 95 Ач обр.п. (0);18970;00003357;850А;95,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;26.3 кг.;EXIDE TECHNOLOGIES Transportation Business Group Europe;Польша г. Познань
FB Hybrid 62 Ач (низ) обр. п. (0);5850;00003354;630А;62,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;16 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Solite Silver 110 Ач (125 D 31L) с буртиком (0);10000;00003338;850А;110,0 Ач;12В;Толстые;Обратная;301 мм.;172 мм.;220 мм.;21 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 95 Ач (105 D 26 L) с буртиком (0);8830;00003337;710А;95,0 Ач;12В;Толстые;Обратная;260 мм.;168 мм.;220 мм.;18 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 85 Ач (95 D 23 L) с буртиком (0);7710;00003336;630А;85,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;16 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 50 Ач CMF50 L 50 Ач (кубик) (0);5050;00003339;470А;50,0 Ач;12В;Толстые;Обратная;205 мм.;170 мм.;190 мм.;12 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
ЗВЕРЬ Азия 95 Ач (125 D 31L) (0);9720;00003335;930А;95,0 Ач;12В;Толстые;Обратная;305 мм.;175 мм.;221 мм.;24.3 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Spark 90 Ач прям.п. (1);7350;00003260;750А;90,0 Ач;12В;Толстые;Прямая;376 мм.;175 мм.;190 мм.;25 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Тюмень 190 Ач (болт) прям.п. (4);17090;00000264;1320А;190,0 Ач;12В;Top Post (Под болт);Прямая;518 мм.;228 мм.;240 мм.;50.7 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень 75 Ач обр.п. (0);6810;00003143;660А;75,0 Ач;12В;Толстые;Обратная;306 мм.;175 мм.;190 мм.;20 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень 90 Ач обр.п. (0);8150;00003140;720А;90,0 Ач;12В;Толстые;Обратная;345 мм.;175 мм.;213 мм.;25 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Dominator 74 Ач (низ) обр.п. (0);7390;00003046;740А;74,0 Ач;12В;Толстые;Обратная;276 мм.;175 мм.;175 мм.;16.9 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Dominator 65 Ач обр.п. (0);6340;00003044;630А;65,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Dominator 65 Ач прям.п. (1);6340;00003045;630А;65,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Dominator 62 Ач (низ) обр.п. (0);5850;00003047;620А;62,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;14.5 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 215 Ач прям.п (1);11470;00003040;1120А;215,0 Ач;6В;Толстые;Прямая;380 мм.;160 мм.;210 мм.;29.9 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FB Hybrid 65 Ач обр.п. (0);6340;00003038;580А;65,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;14.9 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FB Hybrid 65 Ач прям.п. (1);6340;00003039;580А;65,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.9 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
UNIKUM 55 Ач прям.п.  (1);4020;00002949;450А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;13.4 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
UNIKUM 60 Ач прям.п. (1);4070;00002950;500А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;13.6 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
UNIKUM 132 Ач прям.п. (4);10760;00002922;820А;132,0 Ач;12В;Толстые;Прямая;513 мм.;182 мм.;240 мм.;34.8 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
UNIKUM 190 Ач (болт) прям.п. (4);13550;00002923;1200А;190,0 Ач;12В;Top Post (Под болт);Прямая;524 мм.;239 мм.;240 мм.;53 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
UNIKUM 75 Ач прям.п. (1);5490;00002925;600А;75,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;16.4 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
UNIKUM 90 Ач прям.п.  (1);6710;00002924;700А;90,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;21.3 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Зверь 140 Ач прям.п. (4);12400;00000927;900А;140,0 Ач;12В;Толстые;Прямая;514 мм.;175 мм.;210 мм.;41 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Тюмень МТС-9 (МОТО 12V) Лидер обр. п. (0);1440;00001237;45А;9,0 Ач;12В;4F;Обратная;140 мм.;77 мм.;135 мм.;2.2 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень 60 Ач прям.п. (1);5350;00000149;550А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;16.1 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень 60 Ач обр.п. (0);5350;00001910;550А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;16.1 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень 62 Ач прям.п. (1);5610;00000150;580А;62,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;16.8 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень 75 Ач прям.п. (1);6810;00000151;660А;75,0 Ач;12В;Толстые;Прямая;306 мм.;175 мм.;190 мм.;20 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень 90 Ач прям.п. (1);8150;00000153;720А;90,0 Ач;12В;Толстые;Прямая;345 мм.;175 мм.;213 мм.;25 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень 132 Ач прям.п. (4);12540;00000155;960А;132,0 Ач;12В;Толстые;Прямая;513 мм.;189 мм.;230 мм.;39.3 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень 190 а/ч (конус) прям.п. (4);17090;00001411;1320А;190,0 Ач;12В;Толстые;Прямая;518 мм.;228 мм.;240 мм.;50.7 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень МТС-18 (МОТО 6V);1310;00001630;90А;18,0 Ач;6В;4F;Прямая;140 мм.;77 мм.;135 мм.;2 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень 55 Ач прям.п. (1);5060;00000148;525А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.3 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Орион (ВСА) 75 Ач обр.п. (0);6150;00001239;580А;75,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;19.6 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Орион (ВСА) 90 Ач прям.п. (1);7440;00000940;800А;90,0 Ач;12В;Толстые;Прямая;376 мм.;175 мм.;190 мм.;23 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Орион (ВСА) 55 Ач прям.п. (1);4500;00000935;430А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.8 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Орион (ВСА) 60 Ач прям.п. (1);4880;00000936;520А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.1 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Орион (ВСА) 62 Ач прям.п. (1);4200;00000937;480А;62,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.8 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Орион (ВСА) 66 Ач прям.п. (1);5630;00000938;540А;66,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;19.4 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Орион (ВСА) 75 Ач прям.п. (1);6150;00000939;580А;75,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;19.6 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Курск 215 Ач прям.п. (1);7580;00000696;1120А;215,0 Ач;6В;Толстые;Прямая;420 мм.;170 мм.;210 мм.;32 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Зверь 77 Ач обр.п. (0);7030;00001266;720А;77,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;22.2 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ЗВЕРЬ Азия 58 Ач (75 B 24L) (0);5990;00000928;600А;58,0 Ач;12В;Тонкие;Обратная;238 мм.;129 мм.;235 мм.;14 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ЗВЕРЬ Азия 58 Ач (75 B 24R) (1);5990;00002087;600А;58,0 Ач;12В;Тонкие;Прямая;238 мм.;129 мм.;235 мм.;14 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ЗВЕРЬ Азия 70 Ач (85 D 23L) (0);7360;00002576;700А;70,0 Ач;12В;Толстые;Обратная;232 мм.;173 мм.;202 мм.;19.8 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ЗВЕРЬ Азия 82 Ач (110 D 26L) (0);8310;00002577;750А;82,0 Ач;12В;Толстые;Обратная;265 мм.;173 мм.;223 мм.;23.5 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь 60 Ач обр.п. (0);5930;00001245;650А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15.8 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь 65 Ач обр.п. (0);6340;00002583;700А;65,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;17.6 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
