Название;Цена, руб.;Артикул;Стартовый ток;Емкость;Номинальное напряжение;Клемы;Полярность;Длина;Ширина;Высота;Вес;Изготовитель;Страна производства
Bars Silver 60 Ач прям.п. (1);4860;00000160;530А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.7 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 60 Ач обр.п. (0);4860;00001198;530А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;14.7 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 75 Ач прям.п. (1);6180;00000162;650А;75,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;18 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 75 Ач обр.п. (0);6180;00001174;650А;75,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;18 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 90 Ач прям.п. (1);7490;00000163;770А;90,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;22 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 90 Ач обр.п. (0);7490;00001199;770А;90,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;22 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 132 Ач прям.п. (4);12030;00000164;890А;132,0 Ач;12В;Толстые;Прямая;513 мм.;182 мм.;240 мм.;37 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 140 Ач прям.п. (4);12160;00000165;920А;140,0 Ач;12В;Толстые;Прямая;513 мм.;182 мм.;240 мм.;37.5 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 190 Ач (болт) прям.п. (4);15310;00000166;1250А;190,0 Ач;12В;Top Post (Под болт);Прямая;524 мм.;239 мм.;240 мм.;52 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver  210 Ач (болт) прям.п. (4);16470;00000167;1350А;210,0 Ач;12В;Толстые;Прямая;524 мм.;239 мм.;223 мм.;50 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 215 Ач прям.п. (1);11900;00000168;1100А;215,0 Ач;6В;Толстые;Прямая;425 мм.;170 мм.;240 мм.;50 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 55 Ач прям.п. (1);4780;00000159;500А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.5 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Bars Silver 55 Ач обр.п. (0);4780;00001197;500А;55,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;14.5 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
АКТЕХ 55 Ач прям.п. (1);4080;00000246;500А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.7 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ 60 Ач прям.п. (1);4330;00000247;600А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;16.9 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ 64 Ач прям.п. (1);4710;00000925;570А;64,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;17.9 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
VARTA SD 74 Ач низ. (E38) обр.п. (0);12060;00001502;750А;74,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;175 мм.;18 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
VARTA SD 77 Ач (E44) обр.п. (0);12710;00001503;780А;77,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;190 мм.;17.5 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
VARTA SD 85 Ач низ. (F18) обр.п. (0);13950;00001496;800А;85,0 Ач;12В;Толстые;Обратная;305 мм.;175 мм.;175 мм.;21 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
VARTA AGM 95 Ач (G14) обр.п. (0);29450;00001793;850А;95,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;26.4 кг.;Johnson Controls Autobatterie GmbH &Co. KGaA;Германия г.Ганновер
VARTA SD 100 Ач (H3) обр.п. (0);18220;00001497;830А;100,0 Ач;12В;Толстые;Обратная;345 мм.;175 мм.;190 мм.;24 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
VARTA SD 110 Ач (i1) обр.п. (0);18960;00001498;920А;110,0 Ач;12В;Толстые;Обратная;390 мм.;175 мм.;190 мм.;27 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
VARTA SD 61 Ач низ. (D21) обр.п. (0);9850;00001500;600А;61,0 Ач;12В;Толстые;Обратная;240 мм.;175 мм.;175 мм.;16 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
VARTA SD 63 Ач (D15) обр.п. (0);9990;00001501;610А;63,0 Ач;12В;Толстые;Обратная;240 мм.;175 мм.;190 мм.;16 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Uno 77 Ач прям.п.  (1);5600;00000754;670А;77,0 Ач;12В;Толстые;Прямая;276 мм.;175 мм.;190 мм.;18.3 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Uno 90 Ач прям.п. (1);6980;00000755;780А;90,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;22.4 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Uno 90 Ач обр.п. (0);6980;00002611;780А;90,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;22.4 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
VARTA AGM 60 Ач (D52) обр.п. (0);18600;00001889;680А;60,0 Ач;12В;Толстые;Обратная;240 мм.;175 мм.;190 мм.;17 кг.;Johnson Controls Autobatterie GmbH &Co. KGaA;Германия г.Ганновер
VARTA AGM 70 Ач (E39) обр.п. (0);22010;00001792;760А;70,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;20.2 кг.;Johnson Controls Autobatterie GmbH &Co. KGaA;Германия г.Ганновер
VARTA AGM 80 Ач (F21) обр.п. (0);27900;00001890;800А;80,0 Ач;12В;Толстые;Обратная;305 мм.;175 мм.;190 мм.;21 кг.;Johnson Controls Autobatterie GmbH &Co. KGaA;Германия г.Ганновер
Uno 55 Ач прям.п. (1);4360;00000750;480А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.5 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Uno 60 Ач  прям.п. (1);4380;00000751;510А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.2 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Uno 62 Ач прям.п. (1);4720;00000752;530А;62,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.8 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Uno 140 Ач обр.п. (3);11760;00000756;900А;140,0 Ач;12В;Толстые;Обратная;513 мм.;189 мм.;223 мм.;37.3 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Uno 190 Ач (болт) прям.п. (4);13970;00001836;1200А;190,0 Ач;12В;Толстые;Прямая;518 мм.;240 мм.;242 мм.;53 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
TUDOR HIGH - TECH 77 Ач обр.п. (0);11030;00001301;760А;77,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;19 кг.;EXIDE TECHNOLOGIES Transportation Business Group Europe;Польша г. Познань
TUDOR HIGH - TECH 64 Ач обр.п. (0);8590;00001340;640А;64,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;16 кг.;EXIDE TECHNOLOGIES Transportation Business Group Europe;Польша г. Познань
TUDOR HIGH - TECH 72 Ач (низ) обр.п. (0);9680;00001300;720А;72,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;175 мм.;19 кг.;EXIDE TECHNOLOGIES Transportation Business Group Europe;Польша г. Познань
TUDOR HIGH - TECH 100 Ач обр.п.  (0);12700;00001297;900А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;24 кг.;EXIDE TECHNOLOGIES Transportation Business Group Europe;Польша г. Познань
SUPER NOVA 65 Ач (75 D 23 R) (1);14480;00000098;620А;65,0 Ач;12В;Толстые;Прямая;229 мм.;167 мм.;223 мм.;16 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER NOVA 68 Ач (80 D 26 L) (0);15420;00000387;700А;68,0 Ач;12В;Толстые;Обратная;256 мм.;169 мм.;221 мм.;18 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER NOVA 68 Ач (80 D 26 R) (1);15420;00000398;700А;68,0 Ач;12В;Толстые;Прямая;256 мм.;169 мм.;221 мм.;18 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER NOVA 80 Ач (95 D 31 L) (0);17140;00000602;740А;80,0 Ач;12В;Толстые;Обратная;303 мм.;173 мм.;225 мм.;21 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER NOVA 80 Ач (95 D 31 R) (1);17140;00000603;740А;80,0 Ач;12В;Толстые;Прямая;303 мм.;173 мм.;225 мм.;21 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER NOVA 41 Ач (46 В 24 L) (0);9430;00000457;330А;45,0 Ач;12В;Тонкие;Обратная;234 мм.;125 мм.;225 мм.;12 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER NOVA 45 Ач (55 В 24 L) (0);10150;00000097;480А;45,0 Ач;12В;Тонкие;Обратная;238 мм.;129 мм.;227 мм.;12 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER NOVA 45 Ач (55 В 24 R) (1);10150;00000396;480А;45,0 Ач;12В;Тонкие;Прямая;238 мм.;129 мм.;227 мм.;12 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER NOVA 60 Ач (55 D 23 L) ДИЗЕЛЬ (0);12640;00000523;360А;60,0 Ач;12В;Толстые;Обратная;229 мм.;167 мм.;223 мм.;16 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER NOVA 60 Ач (55 D 23 R) ДИЗЕЛЬ (1);12640;00000432;360А;60,0 Ач;12В;Толстые;Прямая;229 мм.;167 мм.;223 мм.;16 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER NOVA 65 Ач (75 D 23 L) (0);14480;00000397;620А;65,0 Ач;12В;Толстые;Обратная;229 мм.;167 мм.;223 мм.;16 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB 9000 80 Ач (110 D 26 R) (1);12180;00001585;760А;80,0 Ач;12В;Толстые;Прямая;255 мм.;173 мм.;225 мм.;17.8 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB 9000 92 Ач (125 D 31 L) (0);15220;00001587;870А;92,0 Ач;12В;Толстые;Обратная;303 мм.;173 мм.;225 мм.;21.5 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB 9000 92 Ач (125 D 31 R) (1);15220;00001588;870А;92,0 Ач;12В;Толстые;Прямая;303 мм.;173 мм.;225 мм.;21.5 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB 9000 43 Ач (46 В 19 R) (1);7150;00001271;370А;43,0 Ач;12В;Тонкие;Прямая;184 мм.;123 мм.;225 мм.;8 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB 7000 90 Ач (115 D 31 R) (1);13360;00000095;900А;90,0 Ач;12В;Толстые;Прямая;303 мм.;173 мм.;225 мм.;21 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB 7000 68 Ач (80 D 23 R) (1);9270;00002488;660А;68,0 Ач;12В;Толстые;Прямая;229 мм.;167 мм.;221 мм.;15.9 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB 7000 73 Ач (90 D 26 L) (0);10240;00002088;750А;73,0 Ач;12В;Толстые;Обратная;256 мм.;169 мм.;221 мм.;17.7 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
Spark 55 Ач прям.п. (1);4100;00002375;450А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.2 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Spark 60 Ач прям.п. (1);4200;00002376;500А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.2 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Spark 75 Ач прям.п. (1);5390;00002378;620А;75,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;17.5 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Solite SUPER 85 Ач (95 D 26 R) (1);7290;00001672;650А;85,0 Ач;12В;Толстые;Прямая;260 мм.;168 мм.;220 мм.;18 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 85 Ач (95 D 26 R)  с буртиком (1);7290;00001674;650А;85,0 Ач;12В;Толстые;Прямая;260 мм.;168 мм.;220 мм.;18 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 95 Ач (115 D 31 L) (0);8610;00001668;750А;95,0 Ач;12В;Толстые;Обратная;301 мм.;172 мм.;220 мм.;22 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 95 Ач (115 D 31 L) с буртиком (0);8610;00001675;750А;95,0 Ач;12В;Толстые;Обратная;301 мм.;172 мм.;220 мм.;22 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 95 Ач (115 D 31 R) (1);8610;00001669;750А;95,0 Ач;12В;Толстые;Прямая;301 мм.;172 мм.;220 мм.;22 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 95 Ач (115 D 31 R)  с буртиком (1);8610;00001676;750А;95,0 Ач;12В;Толстые;Прямая;301 мм.;172 мм.;220 мм.;22 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 44 Ач (44 B 19 R) (1);4530;00001662;350А;44,0 Ач;12В;Тонкие;Прямая;187 мм.;127 мм.;199 мм.;9 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 50 Ач (65 B 24 L) (0);4940;00001663;470А;50,0 Ач;12В;Тонкие;Обратная;236 мм.;128 мм.;220 мм.;12.9 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 50 Ач (65 B 24 R) (1);4940;00001664;470А;50,0 Ач;12В;Тонкие;Прямая;236 мм.;128 мм.;220 мм.;12.9 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 70 Ач (85 D 23 L) (0);6480;00001665;580А;70,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;14.5 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 70 Ач (85 D 23 L) с буртиком (0);6480;00001670;580А;70,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;14.5 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 70 Ач (85 D 23 R)(1);6480;00001666;580А;70,0 Ач;12В;Толстые;Прямая;230 мм.;168 мм.;220 мм.;14.5 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 70 Ач (85 D 23 R) с буртиком (1);6480;00001671;580А;70,0 Ач;12В;Толстые;Прямая;230 мм.;168 мм.;220 мм.;14.5 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 85 Ач (95 D 26 L) (0);7290;00001667;650А;85,0 Ач;12В;Толстые;Обратная;260 мм.;168 мм.;220 мм.;18 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 85 Ач (95 D 26 L) с буртиком (0);7290;00001673;650А;85,0 Ач;12В;Толстые;Обратная;260 мм.;168 мм.;220 мм.;18 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 59 Ач (70 B 24 R) (1);5810;00001981;520А;59,0 Ач;12В;Тонкие;Прямая;236 мм.;128 мм.;220 мм.;13 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 85 Ач (95 D 23 L) (0);7710;00001982;630А;85,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;16 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 85 Ач (95 D 23 R) (1);7710;00001983;630А;85,0 Ач;12В;Толстые;Прямая;230 мм.;168 мм.;220 мм.;16 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 95 Ач (105 D 26 L) (0);8830;00001984;710А;95,0 Ач;12В;Толстые;Обратная;260 мм.;168 мм.;220 мм.;18 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 95 Ач (105 D 26 R) (1);8830;00001985;710А;95,0 Ач;12В;Толстые;Прямая;260 мм.;168 мм.;220 мм.;18 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 44 Ач (44 B 19 L) (0);4530;00001661;350А;44,0 Ач;12В;Тонкие;Обратная;187 мм.;127 мм.;199 мм.;9 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 110 Ач (125 D 31L) (0);10000;00001986;850А;110,0 Ач;12В;Толстые;Обратная;301 мм.;172 мм.;220 мм.;21 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 110 Ач (125 D 31R) (1);10000;00001987;850А;110,0 Ач;12В;Толстые;Прямая;301 мм.;172 мм.;220 мм.;21 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 50 Ач (55 B 19L) (0);5230;00001979;410А;50,0 Ач;12В;Тонкие;Обратная;187 мм.;127 мм.;220 мм.;9 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 50 Ач (55 B 19 R) (1);5230;00002120;410А;50,0 Ач;12В;Тонкие;Прямая;187 мм.;127 мм.;220 мм.;9 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite Silver 59 Ач (70 B 24 L) (0);5810;00001980;520А;59,0 Ач;12В;Тонкие;Обратная;236 мм.;128 мм.;220 мм.;13 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
SilverStar 92 Ач прям.п. (1);5470;00001739;820А;92,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;22 кг.;"ООО Рязанский аккумуляторный завод ""Тангстоун""";Российская Федерация г.Рязань
MUTLU SFB M3 75 Ач обр.п. (0);7920;00001729;720А;75,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;195 мм.;18 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
MUTLU SFB M3 75 Ач прям.п. (1);7920;00001728;720А;75,0 Ач;12В;Толстые;Прямая;275 мм.;175 мм.;195 мм.;18 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
MUTLU SFB M2 190 Ач обр.п. (3);23270;00002122;1300А;190,0 Ач;12В;Толстые;Обратная;510 мм.;225 мм.;220 мм.;47 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
MUTLU SFB M3 60 Ач обр.п. (0);6380;00001724;540А;60,0 Ач;12В;Толстые;Обратная;240 мм.;175 мм.;195 мм.;16 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
MUTLU SFB M3 60 Ач прям.п. (1);6380;00001723;540А;60,0 Ач;12В;Толстые;Прямая;240 мм.;175 мм.;195 мм.;16 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
MUTLU SFB M3 63 Ач прям.п. (1);7000;00001726;640А;63,0 Ач;12В;Толстые;Прямая;240 мм.;175 мм.;195 мм.;16.3 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
MUTLU SFB M2 100 Ач обр.п. (0);9870;00001721;830А;100,0 Ач;12В;Толстые;Обратная;345 мм.;175 мм.;195 мм.;23.1 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
Forse 74 Ач прям.п. (1);8320;00000258;760А;74,0 Ач;12В;Толстые;Прямая;276 мм.;175 мм.;190 мм.;18.1 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse 55 Ач прям.п. (1);6420;00000255;550А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.3 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse 60 Ач (низ) обр.п. (0);6760;00000226;640А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;14.8 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse 65 Ач обр.п. (0);6990;00000227;660А;65,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15.1 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse 65 Ач прям.п. (1);6990;00000257;660А;65,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.1 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse 74 Ач обр.п . (0);8320;00000229;760А;74,0 Ач;12В;Толстые;Обратная;276 мм.;175 мм.;190 мм.;18.1 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse 192 Ач (ун.кл) прям.п. (4);20660;00001595;1350А;192,0 Ач;12В;Толстые;Прямая;513 мм.;223 мм.;217 мм.;51.4 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse 50 Ач обр.п. (0);5880;00000224;480А;50,0 Ач;12В;Толстые;Обратная;207 мм.;175 мм.;175 мм.;11.5 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse 50 Ач прям.п. (1);5880;00000651;480А;50,0 Ач;12В;Толстые;Прямая;207 мм.;175 мм.;175 мм.;11.5 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 60 Ач обр.п. (0);4380;00001011;510А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;13.5 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 62 Ач прям.п. (1);4720;00000217;530А;62,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;13.7 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 62 Ач обр.п. (0);4720;00001248;530А;62,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;13.7 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 77 Ач прям.п. (1);5600;00000219;670А;77,0 Ач;12В;Толстые;Прямая;276 мм.;175 мм.;190 мм.;17.1 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 77 Ач обр.п. (0);5600;00001677;670А;77,0 Ач;12В;Толстые;Обратная;276 мм.;175 мм.;190 мм.;17.1 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FirеBall 90 Ач прям.п. (1);6980;00000220;780А;90,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;21.1 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse 100 Ач обр.п. (0);10930;00000231;910А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;23 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse 100 Ач прям.п. (1);10930;00000254;910А;100,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;23 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 140 Ач обр.п. (3);11760;00000221;900А;140,0 Ач;12В;Толстые;Обратная;513 мм.;189 мм.;223 мм.;34 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 190 Ач (ун.кл) прям.п. (4);13970;00000222;1200А;190,0 Ач;12В;Толстые;Прямая;518 мм.;240 мм.;242 мм.;42.9 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 200 Ач прям.п. (4);16510;00001678;1250А;200,0 Ач;12В;Толстые;Обратная;518 мм.;240 мм.;242 мм.;54.4 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 55 Ач прям.п. (1);4360;00000215;480А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;13.3 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FireBall 60 Ач прям.п. (1);4380;00000216;510А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;13.5 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FB Hybrid 75 Ач прям.п. (1);7390;00001010;700А;75,0 Ач;12В;Толстые;Прямая;276 мм.;175 мм.;190 мм.;18.9 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
